电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
Out of the Clear Blue Sky,2019,2019/12/24 (MX),"喜剧,剧情,音乐",112m,83,西班牙語,Pepe Bojórquez,Alfredo Felix-Diaz,概覽,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise."
光榮之路,1957,1957/12/20 (US),"战争,剧情",88m,83,英語,史丹利寇比力克,Humphrey Cobb,It explodes in the no-man's land no picture ever dared cross before!,史丹利庫伯力克（Stanley Kubrick）1957年執導經典反戰電影，透過一宗軍事醜聞的來龍去脈批判法國政治體制，讓此片在法國遭禁映長達30年之久。寇克道格拉斯（Kirk Douglas ）、阿道夫曼吉（Adolphe Menjou）主演。故事改編自Humphrey Cobb的同名史實小說，敘述一次世界大戰期間，法國701步兵團與德軍僵持不下，法軍參謀本部下令701步兵團發動突襲，不惜代價拿下「蟻丘」。大家都心知肚明這是一場自殺式行動，指揮官達克斯上校本來極力反對，卻因為受到革職的威脅以及避免犧牲更多的士兵而妥協。 然而，在德軍的猛烈攻擊下，法軍只好折返，一名將軍竟然下令砲轟自己人，這個錯誤的決定危及三名小兵的性命…
螢火之森,2011,2011/09/17 (JP),"爱情,动画,奇幻",45m,83,日語,大森貴弘,,概覽,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits..."
獅子王,1994,1994/07/08 (HK),"家庭,动画,剧情,冒险",89m,83,英語,羅傑·艾勒斯,羅布·明科夫,The greatest adventure of all is finding our place in the Circle of Life.,活潑好動的辛巴，一直期望成為像父親一樣的王者；但叔叔刀疤施以詭計，令辛巴被迫逃離家園。幸好辛巴途中結識了丁滿和彭彭，在得到好友的支持及受到命運的感召下；辛巴決定重返王國，勇敢地向惡勢力挑戰！迪士尼經典代表作《獅子王》讓你百看不厭，加上奧斯卡「最佳電影歌曲」及「最佳原創配樂」及額外收錄，絕對是珍藏首選。
城市之光,1931,1931/03/07 (US),"喜剧,剧情,爱情",87m,83,英語,差利·卓別靈,哈里·卡爾,True Blind Love,《{城市之光}》是卓別林 (Charles Chaplin) 身兼編劇、導演、作曲與主演於一身。這部片是卓別林第一部運用音響效果的影片，但無對白，因為當時他仍認為對話會破壞演員的表演。
戇爸的禮物,2019,2019/10/11 (TR),剧情,132m,83,土耳其語,Mehmet Ada Öztekin,Kubilay Tat,概覽,一名智障父親遭控殺害廳長的孩子，因此被迫與女兒分開。身陷囹圄的他必須證明自己的清白。
夜與霧,1956,1956/01/29 (FR),"纪录,历史",32m,83,法語,亞倫·雷奈,讓·卡約爾,概覽,本片可説是戰後十年控訴納歲以及戰爭暴力最有力量的影片，在極為詩意、內化的基調中，娓娓道出納粹迫害猶太人的慘痛過往。黑白的歷史影像，與色彩卻殘敗得怵目驚心的現代場景交叉剪接，亞倫．雷奈沒有使用任何情緖性的字眼，一段段如詩的口白與影像，卻使這段歷史歷歷在目。影片在冷靜的唸白與近乎冷漠的影像中結束了，戰爭也是嗎？
聲光伴我飛,1998,1998/10/28 (IT),"剧情,音乐",170m,82,意大利語,基斯比·湯納度,亞歷山卓·巴利科,An epic story of a man who could do anything... except be ordinary,維吉尼亞號蒸汽客輪鋼琴上的一個棄嬰，偶然被船上的礦工丹尼發現，並且當作自己的親生子撫養，那時正好是西元 1900 年的元旦，於是丹尼便將他取名為 1900 — 丹尼布曼·TD·萊蒙·1900。
22世紀殺人網絡,1999,1999/05/20 (HK),"动作,科幻",136m,82,英語,華高斯基姐妹,華高斯基姐妹,Believe the unbelievable.,里奧是廿二世紀電腦高手和奪網奇才，經常被夢境困擾，其後察覺自己的生活被一股來自邪惡網絡世界的無形力量操縱。某天里奧遇上神秘女子珍妮蒂，她帶領他到達地下世界；里奧認識了地下組織袖摩菲士，始發現人類正活在一個「模擬現實世界」而不自知。里奧決定拯救人類，並向邪惡網絡世界宣戰。
Clouds,2020,2020/10/09 (US),"音乐,剧情,爱情",121m,82,-,卡拉·霍爾頓,賈斯汀·貝爾杜尼,Don't wait for tomorrow to live for today.,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon."
One Direction：我們的世代,2013,2013/08/30 (US),"纪录,音乐",92m,82,英語,Morgan Spurlock,,Experience their lives on the road,獲獎肯定的紀錄片導演摩根·史柏路克，將攝影機對準男孩天團 1 世代，拍下這部結合演唱會電影與後台紀實之作。
原罪犯,2003,2005/10/11 (HK),"剧情,惊悚,悬疑,动作",120m,82,韓語,朴贊鬱,黃肇允,"15 years of imprisonment, five days of vengeance.",大秀被囚禁十五年，原因不明不白，其後更被誣陷為殺妻兇手。獲釋之後，他誓要查出誰是主謀，可是復仇行動才剛剛開始，佈局者卻已張羅了一個陰謀毒網，等待大秀一步一步的踏上這個陷阱。朴贊郁的影象將暴力美學推至沸點。不論是逼力，還是震撼指數，《原罪犯》都屬超班馬。04年康城影展評審團大獎。
邊境奇襲,2025,2025/02/28 (HK),"动作,冒险,惊悚",85m,82,西班牙語,Chava Cartas,José Rubén Escalante Méndez,概覽,營救人質任務招來新敵人，格雷洛上尉和他率領的精銳士兵必須面對犯罪集團的伏擊。
